Complaint,Complaint_Clean,Category,Urgency,Complaint_Clean_Banglish
I never got tracking info in the first place. which is unacceptable,I never got tracking info in the first place. which is unacceptable,Order Tracking,Immediate,"Ami shuru tei kono tracking info paini, eta kono vabei accept korar moto na."
I never got tracking info in the first place.,I never got tracking info in the first place.,Order Tracking,Medium,Ami shuru tei kono tracking info paini.
Why do I need to re-verify my ID again? — this is very frustrating,Why do I need to re-verify my ID again? - this is very frustrating,Account & Shipping,Immediate,Amake abar keno amar ID re-verify korte hocche? - eta khuboi frustrating.
It has a foul odor like chemicals. despite following all instructions,It has a foul odor like chemicals. despite following all instructions,Product Issues,High,"Kemon jeno chemical er moto durgondho ber hocche, shob instruction follow korar poro."
It has a foul odor like chemicals. and there's no explanation anywhere,It has a foul odor like chemicals. and there's no explanation anywhere,Product Issues,Low,"Kemon jeno chemical er moto durgondho ber hocche, ebong kothao kono explanation nei."
"The box arrived empty, just packing materials. which is unacceptable","The box arrived empty, just packing materials. which is unacceptable",Order Issues,Medium,"Box ta faka esheche, shudhu packing materials chilo, eta kono vabei accept korar moto na."
I received store credit instead of a cash refund I requested. and there's no explanation anywhere,I received store credit instead of a cash refund I requested. and there's no explanation anywhere,Refunds,Immediate,"Ami je cash refund cheyechilam, tar bodole store credit peyechi, ebong kothao kono explanation nei."
Error message keeps popping up during login. and there's no explanation anywhere,Error message keeps popping up during login. and there's no explanation anywhere,Technical Issues,Immediate,Login er shomoy bar bar error message ashtese. ar kothao kono explanation nei
Instructions were unclear and impossible to follow.,Instructions were unclear and impossible to follow.,Product Issues,Low,Instructions guloclear chilo na ebong follow kora impossible chilo.
There are defects in the stitching of this garment. and there's no explanation anywhere,There are defects in the stitching of this garment. and there's no explanation anywhere,Product Issues,Immediate,Ei garment er stitching e defects ache. ar kothao kono explanation nei
"The return was delivered, but no refund yet. — this is very frustrating","The return was delivered, but no refund yet. - this is very frustrating",Refunds,Low,"Return deliver hoyeche, kintu ekhono refund paini. - eta khub e frustrating"
System declined my payment without any reason. and I need help urgently,System declined my payment without any reason. and I need help urgently,Payments,Immediate,System kono karon chara amar payment decline koreche. ar amar urgently help dorkar
Site logs me out randomly. despite following all instructions,Site logs me out randomly. despite following all instructions,Technical Issues,High,Site random vave amake log out kore dicche. shob instructions follow korar poro
The item arrived broken and unusable. despite following all instructions,The item arrived broken and unusable. despite following all instructions,Product Issues,High,Item ta broken ebong unusable obosthay esheche. shob instructions follow korar poro
I clicked on a 15% off ad and it vanished at checkout. and I need help urgently,I clicked on a 15% off ad and it vanished at checkout. and I need help urgently,Promotions,Immediate,Ami ekta 15% off er ad e click korechilam ebong checkout er shomoy seta gayeb hoye gelo. ar amar urgently help dorkar
Missing accessories from the package. and there's no explanation anywhere,Missing accessories from the package. and there's no explanation anywhere,Product Issues,Low,Package theke accessories missing chilo. ar kothao kono explanation nei
The zipper broke the first time I used the bag. even after multiple attempts,The zipper broke the first time I used the bag. even after multiple attempts,Product Issues,Medium,Bag ta prothom bar use korar shomoy e zipper ta bhenge geche. multiple attempts korar poro
The site accepted my payment but shows no order. — this is very frustrating,The site accepted my payment but shows no order. - this is very frustrating,Payments,Low,Site amar payment accept koreche kintu kono order dekachhe na. - eta khub e frustrating
Error message keeps popping up during login. which is unacceptable,Error message keeps popping up during login. which is unacceptable,Technical Issues,Low,Login er shomoy bar bar error message ashtese. ja completely unacceptable
Can’t apply filters while browsing products. — this is very frustrating,Can't apply filters while browsing products. - this is very frustrating,Technical Issues,Low,Products browse korar shomoy filters apply korte parchi na. - eta khub e frustrating
My entire order was canceled without explanation. and I don't know what to do next,My entire order was canceled without explanation. and I don't know what to do next,Order Issues,Immediate,Kono explanation chara amar pura order cancel kore dewa hoyeche. ar ami bujhte parchi na ki korbo
The zipper broke the first time I used the bag. and I need help urgently,The zipper broke the first time I used the bag. and I need help urgently,Product Issues,Medium,Bag ta prothom bar use korar shomoy e zipper ta bhenge geche. ar amar urgently help dorkar
I returned everything and only got a partial refund. please fix this ASAP,I returned everything and only got a partial refund. please fix this ASAP,Refunds,Medium,Ami shob kichu return korechi kintu shudhu partial refund peyechi. kindly eta fix korun ASAP
Items in the box were clearly tossed around and damaged. and it's really disappointing,Items in the box were clearly tossed around and damaged. and it's really disappointing,Order Issues,Low,Box er vitorer items gulo clearly tossed around chilo ebong damaged chilo. ar eta sottii disappointing
"You're advertising free shipping, but I'm being charged for it. which is unacceptable","You're advertising free shipping, but I'm being charged for it. which is unacceptable",Promotions,Low,"Apnara free shipping advertise korchen, kintu amar theke charge kata hocche. ja completely unacceptable"
Can’t apply filters while browsing products. please fix this ASAP,Can't apply filters while browsing products. please fix this ASAP,Technical Issues,High,Products browse korar shomoy filters apply korte parchi na. kindly eta fix korun ASAP
Website crashes every time I add to cart. and I need help urgently,Website crashes every time I add to cart. and I need help urgently,Technical Issues,Medium,Prottek bar cart e add korar shomoy website crash kore. ar amar urgently help dorkar
Items in the box were clearly tossed around and damaged.,Items in the box were clearly tossed around and damaged.,Order Issues,Medium,Box er vitorer items gulo clearly tossed around chilo ebong damaged chilo.
